"doc","language"
"I got along so well with the guy sitting next to me at the pub that we ended up drinking together till dawn.","eng"
"Dima tettajja tazewwut teldey mi ara teḍḍes.","ber"
"Katsoin alas merelle.","fin"
"Das waren schelmische Worte, doch sie entsprachen der Wahrheit.","deu"
"Mi antaŭvidis lin voki, sed mi ŝanĝis mian ideon kaj ne faris tion.","epo"
"Gewisse Leute machen mich lachen.","deu"
"A lei piace leggere romanzi.","ita"
"O Barba Negra é um dos piratas mais famosos.","por"
"Je n'ai pas compris où tu voulais en venir.","fra"
"I know I don't have enough time to do that.","eng"
"その箱にそんなに詰めると底が抜けるよ。","jpn"
"Tom kısa bir süre sonra öldü.","tur"
"Tom balık gibi yüzmeyi bilir.","tur"
"Ben bu yalanla yaşamaya devam edemem.","tur"
"Мислам дека ќе дојде.","mkd"
"Brazilo troviĝas en Sud-Ameriko.","epo"
"I gatti solitamente miagolano.","ita"
"Sadece ihtiyacım olan budur.","tur"
"She will be seventeen years old next February.","eng"
"He acts like a tough guy.","eng"
"Я свяжусь с вами в понедельник.","rus"
"Vad tradigt!","swe"
"Sizce ben hoş muyum?","tur"
"Ich bin auch hier.","deu"
"Oni supozis, ke tio neniam okazos.","epo"
"I'm serious about that.","eng"
"The surface temperature of the sun is around 6000°C.","eng"
"El padre le trajo una pelota a su hijo, y el niño jugó con ella.","spa"
"Alig dolgozom.","hun"
"Maria ist noch in der Schule.","deu"
"He went hunting in the woods.","eng"
"Hast buan !","bre"
"In flight, the airplane rotates about the center of gravity.","eng"
"Kiam mi iris al la lernejo, mi poviĝis solvi pli kaj pli malsimplajn problemojn.","epo"
"Я не могу отпустить вас одних.","rus"
"Skoro smo gotovi.","srp"
"Ja vi elmetis la okulon kaj vidis nulon.","epo"
"Fardañ din un tasad kafe mar plij ganit.","bre"
"At last, she executed the plan.","eng"
"Ви готові починати?","ukr"
"Toute les portes sont ouvertes, mais il n'y a aucun courant d'air.","fra"
"Yarın öğleden sonra Tom'la bir toplantım var.","tur"
"Beth has a strong habit of interrupting people while they are talking.","eng"
"En la kampo de neŭroscienco, neŭraj retoj estas ofte identigitaj kiel grupoj da neŭronoj plenumantaj specifan fiziologian funkcion.","epo"
"Tom died in Boston three years later.","eng"
"Auf diese Weise belustigte sie alle Anwesenden.","deu"
"You're really creative.","eng"
"Mi faris tion, kion la plimulto faras en tiu situacio.","epo"
"Siz de bana gerçeği söylemeliydiniz.","tur"
"Она поливает цветы.","rus"
"That interests me.","eng"
"Questo è il tuo pilota che parla.","ita"
"Tu lias.","por"
"Asun nyt Helsingissä, mutta olen kotoisin Kuopiosta.","fin"
"Tom silahsız bir insanı vurmakla suçlandı.","tur"
"אדם זר נכנס לבניין.","heb"
"שאזרוק את כל הספרים הללו?","heb"
"Ur ḥwajeɣ tasiwant-nnek.","ber"
"Ssewjed iman-nnek ad temmted!","ber"
"Tom Mary'ye hiç inanmıyor.","tur"
"Он навешал ей лапшу на уши — и был таков!","rus"
"彼は賭け事で貯金を使い果たした。","jpn"
"Sen benim gibi bir uyuşturucu bağımlısısın!","tur"
"Ĉu vi volas, ke mi helpu vin en la purigado de la vazaro?","epo"
"Onlardan yararlanabilmeniz için arkadaşlarınızı seçin.","tur"
"Post longa atendado por respondo oni faris ĉiujn ŝanĝojn.","epo"
"Мы можем пойти с вами?","rus"
"Ty posprzątasz.","pol"
"Een nauwkeuriger onderzoek wees uit dat de schedel verbrijzeld was door een harde slag.","nld"
"Neniu unuopa kompanio havu pli ol dek miliardoj da dolaroj en valoraĵoj. Jen la tempo postuli la disiĝon de tro grandaj entreprenoj, samkiel kaj samkial Theodore Roosevelt disrompis la trustojn kaj la monopolojn.","epo"
"Я была счастлива за Тома.","rus"
"Он всегда встревает в наш разговор.","rus"
"Ŝi estas naiva knabino, kiu kredas ĉion, kion oni rakontas al ŝi.","epo"
"Ich weiß, dass es hier eine große Kirche gab.","deu"
"Los tres estáis detenidos.","spa"
"Ci conosciamo a malapena.","ita"
"Через несколько минут Том вернулся с бутылкой вина.","rus"
"На постоянную работу требуются бессмертные рабочие.","rus"
"Szólj nekem, ha bánt valami!","hun"
"Dieser Kuchen ist ziemlich süß.","deu"
"Tella tesbucbuc.","ber"
"Tom's help isn't needed anymore.","eng"
"Έγραψε λάθος το όνομά μου.","ell"
"彼は「この本をきのうここで買った」と言った。","jpn"
"Boston is too cold for me, let alone Chicago.","eng"
"Köszönöm, de nem.","hun"
"أنا أشم الغاز.","ara"
"Li metis vazon sur la tablon.","epo"
"Det har tordnet og lynet hele natten.","dan"
"Locuiește la câteva blocuri distanță de aici.","ron"
"Kiam li estis for, mi spiris pli libere.","epo"
"Vad heter din hund?","swe"
"Mia patrino aspektas juna laŭ sia aĝo.","epo"
"É como se ela tivesse memória fotográfica.","por"
"Dov'è la tua spada?","ita"
"No quiero volver a perderte.","spa"
"Ben dün nehire gidip balık avladım.","tur"
"Хіба ви не розумієте чому?","ukr"
"Я большой фанат гольфа.","rus"
"Я ведь его предупреждал.","rus"
"You've got plenty of time.","eng"
"La oí cantando en su cuarto.","spa"
"Ditemi, quando ritornerete?","ita"
"Li ŝajnas esti implikita en tiu afero.","epo"
"Thank you for helping me to cross the road.","eng"
"Emily e Melanie sono inglesi.","ita"
"Mesmo não recebendo um bom salário, não tenho vontade de abandonar este trabalho.","por"
"In questa casa è evidente il logorare del tempo.","ita"
"Do something about that noise.","eng"
"Какого цвета ваша новая машина?","rus"
"Kies iloj estas tiuj? — ""Ili estas la iloj de mia onklo.""","epo"
"Bisogna mostrarsi più vicini ai cittadini.","ita"
"Mary'nin bizi terk edeceğini biliyordum.","tur"
"彼がそんなことをしたはずがない。","jpn"
"Espéranto, une langue commune pour l'Union européenne, illico!","fra"
"¿Hay alguien que quiera ir en coche?","spa"
"For me, the more, the better.","eng"
"Я не задержался.","rus"
"You really do hate your ex-wife, don't you?","eng"
"Pojechał tam sam.","pol"
"Kedvelted őt?","hun"
"¿Acaso no es una buena cantante francesa?","spa"
"Не смій нічого чіпати.","ukr"
"Ela fala três línguas.","por"
"Ur jemmɛeɣ acemma.","ber"
"I was an outcast.","eng"
"Jim fue capaz de contener su enojo.","spa"
"他后悔浪费了他的时间。","cmn"
"Alle Kritiken nehme ich dankend an, weil sie, indem sie mir meine Fehler zeigen, mir helfen, mich zu verbessern.","deu"
"Tom is serving three life sentences.","eng"
"Mi estas ĉiam preta por lerni, kvankam mi ne ĉiam ŝatas esti instruita.","epo"
"Я думал, ей в крайнем случае тридцать.","rus"
"Mrok z wolna gęstniał.","pol"
"Я думал, ты с ним вместе живёшь.","rus"
"Mi ne estas riĉa, kaj riĉiĝi ne deziras.","epo"
"¿Ahora dónde trabaja?","spa"
"The fork made its way to Western tables several hundred years later, but it was not immediately accepted.","eng"
"Тому удобно.","rus"
"ぼくはきっとジムがその話をでっち上げたのだと思う。","jpn"
"Centrale nucléaire.","fra"
"Ik denk niet dat arm zijn iets is om je voor te schamen.","nld"
"Mi atentadis vin.","epo"
"How about February 28th around 3:00 pm?","eng"
"Urso ne tuŝos malvivan korpon.","epo"
"Multi iuvenes in convivio erant.","lat"
"Um zehn Uhr gehe ich heim.","deu"
"Tom'un seçimi kazanma şansı yüksek.","tur"
"Aș vrea să vorbești cu mai mult curaj.","ron"
"Du hättest kommen sollen. Es war toll.","deu"
"Jag har inte fria händer.","swe"
"I suggest that you see Mr White.","eng"
"Ela domina o inglês, embora educada no Japão.","por"
"Ella se quedó plantada allí incluso después de que el tren no se viera a lo lejos.","spa"
"Распогодилось.","rus"
"Ella tendrá diecisiete años en febrero.","spa"
"ئاپلا...","uig"
"Je l'ai embrassée tendrement.","fra"
"Kun sia patrino interligis lin intima, emocioriĉa rilato.","epo"
"Gibt es denn tatsächlich nicht einen Weisen unter euch?","deu"
"Feltöltöttem egy új zene videót a YouTube-ra.","hun"
"Loro hanno saltato.","ita"
"Я бы сказал ""нет"".","rus"
"Aku ingin seekor anak anjing.","ind"
"Il y avait des voitures en feu, des gens qui mouraient et personne ne pouvait les aider.","fra"
"Versuchen Sie, wach zu bleiben.","deu"
"Мне нужно поговорить с вами о том, что произошло здесь на прошлой неделе.","rus"
"Mijn land is de hele wereld.","nld"
"מרי לא קינאה.","heb"
"Death isn't death, my friends! It's change!","eng"
"Ohne Wasser hätten die Soldaten sterben können.","deu"
"Do Tom and Mary know I can't swim?","eng"
"Кто проверял работу Тома?","rus"
"Я люблю молоко и масло.","rus"
"A kormány a tervet jövő évben tervezi megvalósítani.","hun"
"Mon passe-temps est de collectionner les insectes.","fra"
"Você não deveria julgar as pessoas pelo gênero.","por"
"O bir şey olduğunu düşünüyor ama değil.","tur"
"Bu kılıç dünyada bir ejderhayı öldürebilecek tek silahtır.","tur"
"En ymmärrä sinua.","fin"
"Sami didn't want to have a face-to-face confrontation with Farid.","eng"
"Παρακαλώ δείξτε μου αυτή την κάμερα.","ell"
"Я даже не знаю, кто она такая.","rus"
"הוא שוטט בלי מטרה והסתכל בעיר.","heb"
"Pardonu, ĉu la sidloko ankoraŭ liberas?","epo"
"Ich kann nicht sagen, ob es mit der Unterseite nach oben, der Innenseite nach außen oder der Vorderseite nach hinten gelandet ist.","deu"
"Ты мне больше нравишься.","rus"
"Qual è la differenza tra un villaggio e una città?","ita"
"היא תצטרך לבשל בשביל כולם.","heb"
"It's clear they thought I was somebody else.","eng"
"Qobpu' pa' ghu'.","tlh"
"D igiman n tewlafin ay yellan deg usalay-a.","ber"
"Sami ve Leyla'nın evliliği altı oğlan çocuğu üretti.","tur"
"A türelmét kérem.","hun"
"לתרופה הזאת יש טעם מר.","heb"
"¿Por qué no estás comiendo?","spa"
"אתם רוצים ללמוד פרסית?","heb"
"L'entreprise connaît des difficultés financières.","fra"
"Mää tuun äkkiä takas.","fin"
"Avete visto mia moglie? Avete visto Mary?","ita"
"Thank you very much for your hearty hospitality.","eng"
"Я знаю, где вы были.","rus"
"Tom is brighter than you are.","eng"
"Мне он показался приятным человеком.","rus"
"Otahan suklaakakkua, jos maistuu.","fin"
"हे कोणी बांधलं?","mar"
"Mejor quiero aprender el arte marcial Bokator jemer.","spa"
"יהיה לך זמן מחרתיים?","heb"
"Tom je mislio da lažem.","srp"
"Tom pisó fuerte el pedal de freno y paró en seco con un chirrido.","spa"
"Tomaso kaj Maria forvendis siajn animojn.","epo"
"Supozeble mi miskomprenis.","epo"
"Die Milch wurde sauer.","deu"
"До кожної дії є свій наслідок.","ukr"
"Sì, hai bisogno di esercitarti ogni giorno.","ita"
"Скажи нам, как мы можем тебе помочь.","rus"
"Пальто җөйләр буйлап сүтелде.","tat"
"No ha venido todavía.","spa"
"Mary şaşıracak, değil mi?","tur"
"Ĉu vi aĉetis ian kristnaskdonacon por ŝi?","epo"
"Nereye gitmem gerektiği konusunda hiçbir fikrim yoktu.","tur"
"ijo Kito li ma tomo lawa pi ma Ekato.","toki"
"Thank you for your kindness in seeing me.","eng"
"Tudtam, hogy nem bírod ki Judit nélkül sokáig.","hun"
"Бдеев цела ноќ.","mkd"
"Mary realized she didn't have enough time to do what needed to be done.","eng"
"A nemzetközi konferenciának idén februárban kellett volna kezdődnie.","hun"
"Sebuah kesepakatan yang berdasar harus bisa ditemukan.","ind"
"Hayvanları yakalamak için, onlar bola kullanırdı.","tur"
"Fadıl hiçliğin ortasına kadar sürdü.","tur"
"कराटे बेहथियार रक्षा की कला है।","hin"
"Tom told me that he'd be fair.","eng"
"Non hanno alcuna influenza sull'ambiente.","ita"
"Kiu estas la distanco de tie ĉi al Hakata?","epo"
"向こうではセレブという言葉を「金持ち」の意味では使わない。という事で日本人と判明しました。","jpn"
"Das ist schon komisch, aber es ist so.","deu"
"Tom evden gizlice çıktı.","tur"
"מחר יהיה מעונן.","heb"
"Tom, du bist supersüß, aber du bist auch dumm.","deu"
"Што правиш тука, Том? Мери не сака да те види.","mkd"
"Tom asked Mary what he should bring to the party.","eng"
"Tom is gek geworden.","nld"
"Sie sagte ihm, dass sie ihn nicht liebe.","deu"
"Tom ist unmöglich zufriedenzustellen.","deu"
"Menschen sind im Grunde alle gleich.","deu"
"ئۇ خەۋەرنى ئاڭلاپ، مەن قانداق قىلىشىمنى بىلەلمەي تۇرۇپلا قالدىم.","uig"
"La detalajn regulojn de organizaĵo kaj funkciado de la Ŝtata Revizora Kortumo difinas kardinala leĝo.","epo"
"Tom doesn't think Mary will do the job very well.","eng"
"May I go now?","eng"
"Um carro tão velho era praticamente inútil.","por"
"Mary Tom'u haksız yere suçladı.","tur"
"Tom wurde erstochen.","deu"
"Fadıl problemlerini tek başına çözemez.","tur"
"Наконец-то, итоговые экзамены остались позади.","rus"
"Hold op med at opføre dig barnligt!","dan"
"Она чистит картошку.","rus"
"Будьте здоровы!","rus"
"Il y a beaucoup de monde dans la salle d'attente.","fra"
"Yamada n'est pas très populaires avec les filles de son âge, mais il est populaire avec les étudiantes plus jeunes.","fra"
"Have a good summer vacation!","eng"
"Ihr seid Verschwender.","deu"
"Tom stampò la pagina.","ita"
"Bir tane içmek için tam yeterli vakit var.","tur"
"आपण त्या माणसाचं घर विकत घेतलं.","mar"
"Más vale bien de lejos que mal de cerca.","spa"
"Tom seldom uses his phone.","eng"
"Du bist ein echter Freund.","deu"
"Sono abbastanza imbarazzato adesso.","ita"
"Minne sinä haluaisit mennä?","fin"
"Peu importe si ça tourne mal, elle ne mourra pas de cette maladie.","fra"
"त्याला बेसबॉल खेळता येतो.","mar"
"我在西班牙买的这个。","cmn"
"Por que você está procrastinando?","por"
"Ils se faisaient léser.","fra"
"Ezen regény szereplői olybá tűnnek, minthogyha egy régi festményből léptek volna ki.","hun"
"Yeḍḍef aṭaksi akken ur izeggel ara tamacint-nni.","ber"
"Tomot idén januárban ismertem meg.","hun"
"Vim a pé.","por"
"יש לה גישה לילדים.","heb"
"It was a collaborative effort.","eng"
"Je pense que nous devrions attendre encore une demi-heure.","fra"
"Tom po prostu nie zrozumiał.","pol"
"sina musi lili.","toki"
"I like rugby, but not as much as I like basketball.","eng"
"Oporavio sam se.","srp"
"Ми можемо довіряти такій людині?","ukr"
"Tenemos que dormir al menos ocho horas al día.","spa"
"Kendimizden geçmeyelim.","tur"
"O çok iyi değil.","tur"
"El príncipe, o la princesa, es el heredero del reino.","spa"
"Anh ta giải thích cặn kẽ lý do.","vie"
"Power corrupts people.","eng"
"ダイエット中脱力感がでます、どうすればよい？","jpn"
"Çiçekler arıları çeker.","tur"
"唔好意思，我而家好忙呀。","yue"
"Biztosan. Mit tudok tenni?","hun"
"Ich wusste gar nicht, dass in unserer Welt solche Menschen leben.","deu"
"תום לא היה זה ששתה את כל החלב.","heb"
"Lei sta per prendere la sua macchina.","ita"
"Masz przyjść osobiście.","pol"
"Voi non avete aiutato i poveri.","ita"
"Sembra che le piaccia la frutta.","ita"
"私は一日中働いてとても疲れている。","jpn"
"Её юбка связана из грубой шерсти.","rus"
"Pli facilas por la riĉa pliriĉiĝi.","epo"
"Nechte to jídlo na stole.","ces"
"I bought that book for you.","eng"
"ביקשת מהם לחכות?","heb"
"Conforme fontes, ainda tem mais de sessenta rebeldes ali vivos.","por"
"I hope Tom wasn't scared.","eng"
"¡No traduzcas las frases de cualquier modo! ¡Hay que usar la puntuación y todo lo demás!","spa"
"Why was Tom imitating me?","eng"
"Dan a reçu une balle derrière la tête.","fra"
"Bunu yapacak zamanı nasıl buldun?","tur"
"Toda cultura tiene sus historias de fantasmas.","spa"
"Die Giants haben die Lions gestern geschlagen.","deu"
"ألم نلتقي مسبقاً؟","ara"
"De krant is van gisteren.","nld"
"Dieses Feuerwerk ist spektakulär!","deu"
"Я знаю, что Вы говорите по-французски.","rus"
"Di che nazionalità sono le nostre zie? ""Colombiana.""","ita"
"Me quedé sin un duro.","spa"
"Avete mai lavorato con lei?","ita"
"Hänellä on tapana raapia selkäänsä ja purra kynsiään.","fin"
"Quels sont les aliments qu'on mange habituellement avec les doigts ?","fra"
"Bence biraz daha beklemeliyiz.","tur"
"When are you going to work?","eng"
"Tom told Mary that he didn't feel like laughing.","eng"
"Ha ha! Kiel doloras mia piedo!","epo"
"Sarò lì in un minuto.","ita"
"It would have been better if I hadn't seen you again.","eng"
"Tom často kýchá. Může mít sennou rýmu.","ces"
"Tro rapida edziĝo, porĉiama kateniĝo.","epo"
"Tom ging in dieselbe Schule wie Maria.","deu"
"Daha önce hiç bu kadar korkmamıştım.","tur"
"As we thought, she had gone abroad.","eng"
"Put the old newspapers in a box and immediately put them away.","eng"
"Beni görünce, bebek ağlamaya başladı.","tur"
"你为什么对我生气？","cmn"
"Tom'un araba sürmeyi öğrenenlere verilen geçici bir sürücü belgesi yok.","tur"
"Tetszik nektek az új munkátok?","hun"
"Eravamo molto emozionate.","ita"
"Ho appena sentito che è andato a trovare Tom.","ita"
"Tom said that I was reckless.","eng"
"I need a kidney transplant.","eng"
"Dieses Flugzeug kann mit 800 Meilen pro Stunde fliegen.","deu"
"مواظب باش!","pes"
"Kvankam la tropikaj arbaroj kovras nur du elcentojn de la tersurfaco, pli ol la duono de la specoj bestaj kaj vegetaj, kaj de la insektoj vivas tie.","epo"
"Ɣas ur yebɣi ara, yenna-as ayen ay tebɣa ad t-tẓer.","ber"
"Tom ouvrit la porte pour laisser entrer le chat.","fra"
"Li ho incontrati per cena.","ita"
"Mary can't decide who she should vote for.","eng"
"Il me l'a apporté.","fra"
"Hier is dat Huus, in dat he leevt heff.","nds"
"I, he said, ""am taller than Daphnis. I keep oxen, whilst he keeps goats; and just as an ox is more valuable than a goat, so is a herdsman, like myself, superior to a goat-herd.""","eng"
"Io sto passeggiando nel parco con i miei figli.","ita"
"Esa es una de razón por la que no lo volveré a hacer nunca más.","spa"
"Tom não precisa de óculos.","por"
"הדברים הסלימו במהירות.","heb"
"This hat is cheap at 1000 yen.","eng"
"Чамцем ћемо прећи преко реке.","srp"
"This is a question about which I know nothing.","eng"
"Sami threw up on Layla's carpet.","eng"
"I really like the music in this elevator.","eng"
"I'd love to go to the fair with you.","eng"
"Tom láthatóan öngyilkosságot kísérelt meg.","hun"
"Ur ttruẓu iɣef-nnek ɣef wugur amecṭuḥ am wa.","ber"
"Ils ne travaillent plus avec nous.","fra"
"彼は徒歩でそこへ行くのは不可能だとわかった。","jpn"
"Eres un asesino en serie.","spa"
"Ĉu ĉio iras laŭdezire?","epo"
"Вот о чём речь.","rus"
"Tom parece estar interesado en Mary.","spa"
"Tomo venis en la ĉambron sen frapi la pordon.","epo"
"תנסה שוב בבקשה.","heb"
"Ich habe nicht so viel Mut wie du.","deu"
"Ela está longe de ser bonita.","por"
"傘を持っていったとは彼は懸命だった。","jpn"
"Tiuj datumoj apogas la hipotezon.","epo"
"גברת בראון מבינה יפנית.","heb"
"Mi akirigis al Marko bonan laboron.","epo"
"¿Están seguros de que quieren estar aquí?","spa"
"Il planta des sapin.","fra"
"Poate ar trebui să renunți la citit romane de dragoste.","ron"
"Tom steht neben Maria.","deu"
"Hij verlaat Chicago morgen.","nld"
"Я больше не хочу с вами разговаривать. Уходите.","rus"
"Mutfak lavabosunun yanında yarısı yenmiş bir elma vardı.","tur"
"O tüm gün sessiz kaldı.","tur"
"Bilim çok heyecan vericidir.","tur"
"Oni vokis lin, sed li ne returnis sin.","epo"
"El Sr. Smith fundó esta escuela hace cuarenta años.","spa"
"Vou estudar francês no próximo semestre.","por"
"Hol találom a fogkrémet?","hun"
"Seg waṭas aya ur mmeslayeɣ yid-k (m)","kab"
"Êtes-vous occupé ?","fra"
"定職を探している。","jpn"
"Yuwa d ameẓẓan, axu yṣeḥḥ.","ber"
"Ni rigardos tion.","epo"
"Paksu köysi ei repeä.","fin"
"Mi piacciono le scarpe più o meno di questo genere.","ita"
"Tom borrowed three books from me last week.","eng"
"Sami read the message Layla had left.","eng"
"¿Cuántas valijas tiene usted?","spa"
"Dışarıda hava soğuk olduğunda kulaklarını kapatan bir şapka giymelisin.","tur"
"You don't drive, do you?","eng"
"De momento, Tom no trabaja en ningún lado.","spa"
"J'ai déjà été touchée deux fois.","fra"
"Nu är det dags för mig att krypa till kojs.","swe"
"The storm kept us from searching for the missing child.","eng"
"Навистина сакам да им помогнам.","mkd"
"Hoe spreek je dit woord uit?","nld"
"kalama musi li toki pona mute. toki ante li pona lili.","toki"
"Uzneɣ-awen-d tasukint seg tebṛat-inu.","ber"
"Sírva fakadt.","hun"
"The plane flew beyond our range of vision.","eng"
"他已經決定了新的政策。","cmn"
"Selostajat ovat kuvanneet vuvuzelojen melua ""ärsyttäväksi"" ja ""helvetilliseksi"", sekä verranneet sitä ""äänekkäiden norsujen ryntäykseen"", ""kuurouttavaan heinäsirkkaparveen"", ""vuoheen matkalla teuraalle"", ""jättipesälliseen erittäin vihaisia ampiaisia"" ynnä ""ankkaan piripäissään"".","fin"
"彼は車に轢かれた。","jpn"
"O amor erótico é um dos importantes temas das obras dela.","por"
"La vittima fu portata in ospedale in condizioni critiche.","ita"
"Bu, arabaya sığmayacak kadar çok büyük.","tur"
"Tom and Mary are still in their teens.","eng"
"No tenemos ningún problema.","spa"
"Мак помог мне отнести пылесос.","rus"
"Dice che verrà immediatamente.","ita"
"Je werk interesseert me veel.","nld"
"Bu şey ilginç.","tur"
"Why blame him?","eng"
"Non hai mai visitato la Polonia.","ita"
"Örömömre szolgál, hogy sikered volt.","hun"
"Luulen niin.","fin"
"Każdy to kocha.","pol"
"En Esperanton la verbon markas la finaĵo -e.","epo"
"Mary says she's hoping she can go swimming tomorrow.","eng"
"Jamás había visto un partido así.","spa"
"Non sono più preoccupato.","ita"
"如果你需要使用一家公司的服務, 在選擇與他們合作之前, 你可能有興趣知道他們朝什麼樣的標準努力。","cmn"
"Tenho que fazer isto agora.","por"
"Ésa es la verdadera genialidad de América: que América puede cambiar. Nuestra Unión se puede perfeccionar. Lo que ya hemos conseguido nos da esperanzas acerca de lo que podemos y debemos conseguir mañana.","spa"
"אני מרגיש עצוב.","heb"
"Mi prepariĝis sen plie maltrankviliĝi.","epo"
"У каждого есть какой-нибудь недостаток.","rus"
"On ma troje dzieci.","pol"
"ככל שקשה יותר השגת הראיות, כך חשוב יותר המודיע.","heb"
"Non erano ubriachi.","ita"
"人生は可能性でいっぱいです。","jpn"
"Eu gostaria de falar-te um minuto em particular.","por"
"C'était elles qui avaient, hier, brisé la fenêtre.","fra"
"Don't be fooled by her looks.","eng"
"Том умеет играть на гитаре.","rus"
"Prefere ni lasu lin trankvila.","epo"
"W studni nie było wody.","pol"
"Il est étudiant au lycée Yushu.","fra"
"Tom and Mary told John that they thought Alice wasn't lost.","eng"
"Tom plejede at skrive digte.","dan"
"As mulheres adoram presentes.","por"
"Él se fue de vacaciones solo dos semanas.","spa"
"I suspect that Tom may have to do that.","eng"
"Mary said she'd wait for Tom until 2:30.","eng"
"We're back on schedule.","eng"
"Хорошие новости всегда опаздывают, а плохие летят как на крыльях.","rus"
"גרום לכך לקרות.","heb"
"Ecco, oggi che avrei una voglia smisurata di fare ginnastica per gli addominali, oggi ho il virus gastrointestinale.","ita"
"Jego sposób mówienia jest bezpośredni do tego stopnia, że aż niegrzeczny.","pol"
"Ich gehe sonntags oft ins Stadtzentrum.","deu"
"People can't tell us apart.","eng"
"Парни предсказуемы.","rus"
"Ĉu mi povas prunte preni vian amikon?","epo"
"Willst du den Rest von meinem Sandwich?","deu"
"Can Tatoeba help minority languages?","eng"
"Ayer compré un procesador nuevo en un remate por Internet.","spa"
"Minä tein sen yksin.","fin"
"È solo un graffio.","ita"
"Число ничего не говорит о качестве.","rus"
"سیگار کشیدن مجاز است.","pes"
"Ламповое масло? Верёвки? Бомбы? Тебе всё это нужно? Оно твоё, мой друг — если у тебя достаточно рупий.","rus"
"Können Sie Tom nicht einfach bitten, uns zu helfen?","deu"
"Tom was silent.","eng"
"Tom Mary'nin uyuduğunu bilmiyordu.","tur"
"سگ به او حمله کرد.","pes"
"Tom is training one of his horses for a race.","eng"
"היא אמרה בעצמה שהיא לא תתאהב יותר באיש.","heb"
"Maɣef ay tsebɣemt aɣrab-a d aberkan?","ber"
"Gwelloc'h e kav-hi an te eget ar c'hafe.","bre"
"Fransız şarkı söylüyor.","tur"
"तसा चेहरा करून मला बघू नकोस.","mar"
"Ne araştırdığını hayal edemiyorum.","tur"
"O nihai hedeftir.","tur"
"Non tocchi niente, OK?","ita"
"Just this morning, Tom repaid Mary the money he owed her.","eng"
"Tegnap péntek volt.","hun"
"У меня нет ничегошеньки на всём белом свете.","rus"
"Ela é irritante e egoísta.","por"
"Eu esperava surpreender Tom.","por"
"विमानावर ""बाँब"" हा शब्द कधीही म्हणू नकोस.","mar"
"Ќе се вратиме таму.","mkd"
"Haec machina nequam est.","lat"
"काय घडलं त्या दिवशी?","mar"
"Разве Том не был с тобой в Бостоне?","rus"
"Она ушла от нас, медленно шагая.","rus"
"Domatesleri dilimledik.","tur"
"Tom was shocked to hear that Mary had been injured in a traffic accident.","eng"
"Bob tiyatro kulübünde.","tur"
"Es ist sehr gefährlich, auf einen fahrenden Zug aufzuspringen.","deu"
"Том рассеян.","rus"
"मी मांजरीसारखं म्याऊं करू शकत नाही. मी तर उंदीर आहे!","mar"
"Ich liebe Rockmusik.","deu"
"Los huevos cuestan R$ 2,00 la docena.","spa"
"Conozco a algunos de los chicos.","spa"
"Динозавры были теплокровными животными?","rus"
"Tom gerçekten iyi.","tur"
"Das hier ist Alis Buch.","deu"
"Tom la isell i uẓawan.","ber"
"C'était dégoûtant.","fra"
"Quel tamburello è rotto.","ita"
"Arrête d'ennuyer ton père.","fra"
"Я решил остаться ещё на день.","rus"
"¿Él le tiene miedo a la muerte?","spa"
"Chris'in kabaca davranması sıradışı idi.","tur"
"I'll let you know if Tom shows up early.","eng"
"Kız arkadaşım bana hamile olduğunu söylediğinde ne yapacağımı bilmiyordum.","tur"
"Tom and I both love Thai food.","eng"
"Ho sentito dire che era ubriaco.","ita"
"Quoi qu'il arrive.","fra"
"She came to like the house.","eng"
"Tom und ich sind etwa gleichaltrig.","deu"
"Resta idratato!","ita"
"Wenn du im Leben was erreichen willst, musst du hart arbeiten.","deu"
"Bude se hrát, i když bude pršet.","ces"
"呢支就係我尋日整唔見嗰支筆喇。","yue"
"Benim en sevdiğim çeviri bu.","tur"
"תום יודע מה מתמשמש ובא.","heb"
"Tom Mary'nin barlarda şarkı söylemesini onaylamadı.","tur"
"Судя по твоему лицу, у тебя хорошие новости.","rus"
"Das war eine weitaus glücklichere Zeit.","deu"
"Didymus cum matre est.","lat"
"Can you help me fix it?","eng"
"Phoenix Arizonanın başkentidir.","tur"
"Hai un colore preferito?","ita"
"I just tell people what they want to hear.","eng"
"O, bildiğim kadarıya çok uzak.","tur"
"Be quiet and listen!","eng"
"Мэри намазала лицо кремом от загара.","rus"
"C'è un po' di carbone nel flusso.","ita"
"Sami doesn't think that's a good idea.","eng"
"Kıskanç olmayacaksınız.","tur"
"That reminds me of something I heard yesterday.","eng"
"Bu şimdiye kadar yediğim en kötü hamburger.","tur"
"Li estas senĉesfumanto.","epo"
"Врач сделал всё, что мог.","rus"
"Tom signed his name.","eng"
"אינני מתייחס אליהן כאל ידידותיי.","heb"
"Я больше не хочу с тобой разговаривать. Уходи.","rus"
"O isim bir şey hatırlatmıyor.","tur"
"Thomas tempestatem metuit.","lat"
"Riuscite a tenere un occhio su di loro?","ita"
"Mary va a comer a ese restaurante un día sí y otro no.","spa"
"Она явно поладит с моей бабушкой.","rus"
"Они сказали нет.","rus"
"Erkek kardeşi bir süredir kayıp.","tur"
"В мене немає дітей.","ukr"
"Mi scivolas, ĉu li estas via frato.","epo"
"הוא נכנס לחדרו.","heb"
"हाल ही में मेरे पास किताबें पढ़ने के लिए थोड़ा भी समय नहीं मिला है।","hin"
"Questa è la cosa più divertente di sempre!","ita"
